2025-07-01 09:59:31 startup archives unpack
2025-07-01 09:59:31 install netbase:all <none> 6.4
2025-07-01 09:59:31 status half-installed netbase:all 6.4
2025-07-01 09:59:31 status unpacked netbase:all 6.4
2025-07-01 09:59:31 install libssl3:arm64 <none> 3.0.16-1~deb12u1
2025-07-01 09:59:31 status triggers-pending libc-bin:arm64 2.36-9+deb12u10
2025-07-01 09:59:31 status half-installed libssl3:arm64 3.0.16-1~deb12u1
2025-07-01 09:59:32 status unpacked libssl3:arm64 3.0.16-1~deb12u1
2025-07-01 09:59:32 install openssl:arm64 <none> 3.0.16-1~deb12u1
2025-07-01 09:59:32 status half-installed openssl:arm64 3.0.16-1~deb12u1
2025-07-01 09:59:32 status unpacked openssl:arm64 3.0.16-1~deb12u1
2025-07-01 09:59:32 install ca-certificates:all <none> 20230311+deb12u1
2025-07-01 09:59:32 status half-installed ca-certificates:all 20230311+deb12u1
2025-07-01 09:59:32 status unpacked ca-certificates:all 20230311+deb12u1
2025-07-01 09:59:32 startup packages configure
2025-07-01 09:59:32 configure libssl3:arm64 3.0.16-1~deb12u1 <none>
2025-07-01 09:59:32 status unpacked libssl3:arm64 3.0.16-1~deb12u1
2025-07-01 09:59:32 status half-configured libssl3:arm64 3.0.16-1~deb12u1
2025-07-01 09:59:32 status installed libssl3:arm64 3.0.16-1~deb12u1
2025-07-01 09:59:32 configure netbase:all 6.4 <none>
2025-07-01 09:59:32 status unpacked netbase:all 6.4
2025-07-01 09:59:32 status half-configured netbase:all 6.4
2025-07-01 09:59:32 status installed netbase:all 6.4
2025-07-01 09:59:32 configure openssl:arm64 3.0.16-1~deb12u1 <none>
2025-07-01 09:59:32 status unpacked openssl:arm64 3.0.16-1~deb12u1
2025-07-01 09:59:32 status half-configured openssl:arm64 3.0.16-1~deb12u1
2025-07-01 09:59:32 status installed openssl:arm64 3.0.16-1~deb12u1
2025-07-01 09:59:32 configure ca-certificates:all 20230311+deb12u1 <none>
2025-07-01 09:59:32 status unpacked ca-certificates:all 20230311+deb12u1
2025-07-01 09:59:32 status half-configured ca-certificates:all 20230311+deb12u1
2025-07-01 09:59:33 status installed ca-certificates:all 20230311+deb12u1
2025-07-01 09:59:33 status triggers-pending ca-certificates:all 20230311+deb12u1
2025-07-01 09:59:33 trigproc libc-bin:arm64 2.36-9+deb12u10 <none>
2025-07-01 09:59:33 status half-configured libc-bin:arm64 2.36-9+deb12u10
2025-07-01 09:59:33 status installed libc-bin:arm64 2.36-9+deb12u10
2025-07-01 09:59:33 trigproc ca-certificates:all 20230311+deb12u1 <none>
2025-07-01 09:59:33 status half-configured ca-certificates:all 20230311+deb12u1
2025-07-01 09:59:33 status installed ca-certificates:all 20230311+deb12u1
2025-07-01 09:59:38 startup archives unpack
2025-07-01 09:59:38 install perl-modules-5.36:all <none> 5.36.0-7+deb12u2
2025-07-01 09:59:38 status half-installed perl-modules-5.36:all 5.36.0-7+deb12u2
2025-07-01 09:59:38 status unpacked perl-modules-5.36:all 5.36.0-7+deb12u2
2025-07-01 09:59:38 install libgdbm6:arm64 <none> 1.23-3
2025-07-01 09:59:38 status triggers-pending libc-bin:arm64 2.36-9+deb12u10
2025-07-01 09:59:38 status half-installed libgdbm6:arm64 1.23-3
2025-07-01 09:59:38 status unpacked libgdbm6:arm64 1.23-3
2025-07-01 09:59:38 install libgdbm-compat4:arm64 <none> 1.23-3
2025-07-01 09:59:38 status half-installed libgdbm-compat4:arm64 1.23-3
2025-07-01 09:59:38 status unpacked libgdbm-compat4:arm64 1.23-3
2025-07-01 09:59:38 install libperl5.36:arm64 <none> 5.36.0-7+deb12u2
2025-07-01 09:59:38 status half-installed libperl5.36:arm64 5.36.0-7+deb12u2
2025-07-01 09:59:38 status unpacked libperl5.36:arm64 5.36.0-7+deb12u2
2025-07-01 09:59:38 install perl:arm64 <none> 5.36.0-7+deb12u2
2025-07-01 09:59:38 status half-installed perl:arm64 5.36.0-7+deb12u2
2025-07-01 09:59:38 status unpacked perl:arm64 5.36.0-7+deb12u2
2025-07-01 09:59:38 install readline-common:all <none> 8.2-1.3
2025-07-01 09:59:38 status half-installed readline-common:all 8.2-1.3
2025-07-01 09:59:38 status unpacked readline-common:all 8.2-1.3
2025-07-01 09:59:38 install bzip2:arm64 <none> 1.0.8-5+b1
2025-07-01 09:59:38 status half-installed bzip2:arm64 1.0.8-5+b1
2025-07-01 09:59:38 status unpacked bzip2:arm64 1.0.8-5+b1
2025-07-01 09:59:38 install libpsl5:arm64 <none> 0.21.2-1
2025-07-01 09:59:38 status half-installed libpsl5:arm64 0.21.2-1
2025-07-01 09:59:38 status unpacked libpsl5:arm64 0.21.2-1
2025-07-01 09:59:38 install wget:arm64 <none> 1.21.3-1+deb12u1
2025-07-01 09:59:38 status half-installed wget:arm64 1.21.3-1+deb12u1
2025-07-01 09:59:38 status unpacked wget:arm64 1.21.3-1+deb12u1
2025-07-01 09:59:38 install xz-utils:arm64 <none> 5.4.1-1
2025-07-01 09:59:38 status half-installed xz-utils:arm64 5.4.1-1
2025-07-01 09:59:39 status unpacked xz-utils:arm64 5.4.1-1
2025-07-01 09:59:39 install binutils-common:arm64 <none> 2.40-2
2025-07-01 09:59:39 status half-installed binutils-common:arm64 2.40-2
2025-07-01 09:59:39 status unpacked binutils-common:arm64 2.40-2
2025-07-01 09:59:39 install libbinutils:arm64 <none> 2.40-2
2025-07-01 09:59:39 status half-installed libbinutils:arm64 2.40-2
2025-07-01 09:59:39 status unpacked libbinutils:arm64 2.40-2
2025-07-01 09:59:39 install libctf-nobfd0:arm64 <none> 2.40-2
2025-07-01 09:59:39 status half-installed libctf-nobfd0:arm64 2.40-2
2025-07-01 09:59:39 status unpacked libctf-nobfd0:arm64 2.40-2
2025-07-01 09:59:39 install libctf0:arm64 <none> 2.40-2
2025-07-01 09:59:39 status half-installed libctf0:arm64 2.40-2
2025-07-01 09:59:39 status unpacked libctf0:arm64 2.40-2
2025-07-01 09:59:39 install libgprofng0:arm64 <none> 2.40-2
2025-07-01 09:59:39 status half-installed libgprofng0:arm64 2.40-2
2025-07-01 09:59:39 status unpacked libgprofng0:arm64 2.40-2
2025-07-01 09:59:39 install libjansson4:arm64 <none> 2.14-2
2025-07-01 09:59:39 status half-installed libjansson4:arm64 2.14-2
2025-07-01 09:59:39 status unpacked libjansson4:arm64 2.14-2
2025-07-01 09:59:39 install binutils-aarch64-linux-gnu:arm64 <none> 2.40-2
2025-07-01 09:59:39 status half-installed binutils-aarch64-linux-gnu:arm64 2.40-2
2025-07-01 09:59:39 status unpacked binutils-aarch64-linux-gnu:arm64 2.40-2
2025-07-01 09:59:39 install binutils:arm64 <none> 2.40-2
2025-07-01 09:59:39 status half-installed binutils:arm64 2.40-2
2025-07-01 09:59:39 status unpacked binutils:arm64 2.40-2
2025-07-01 09:59:39 install libisl23:arm64 <none> 0.25-1.1
2025-07-01 09:59:39 status half-installed libisl23:arm64 0.25-1.1
2025-07-01 09:59:39 status unpacked libisl23:arm64 0.25-1.1
2025-07-01 09:59:39 install libmpfr6:arm64 <none> 4.2.0-1
2025-07-01 09:59:39 status half-installed libmpfr6:arm64 4.2.0-1
2025-07-01 09:59:39 status unpacked libmpfr6:arm64 4.2.0-1
2025-07-01 09:59:39 install libmpc3:arm64 <none> 1.3.1-1
2025-07-01 09:59:39 status half-installed libmpc3:arm64 1.3.1-1
2025-07-01 09:59:40 status unpacked libmpc3:arm64 1.3.1-1
2025-07-01 09:59:40 install cpp-12:arm64 <none> 12.2.0-14+deb12u1
2025-07-01 09:59:40 status half-installed cpp-12:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:40 status unpacked cpp-12:arm64 12.2.0-14+deb12u1
2025-07-01 09:59:40 install cpp:arm64 <none> 4:12.2.0-3
2025-07-01 09:59:40 status half-installed cpp:arm64 4:12.2.0-3
2025-07-01 09:59:40 status unpacked cpp:arm64 4:12.2.0-3
2025-07-01 09:59:40 install libassuan0:arm64 <none> 2.5.5-5
2025-07-01 09:59:40 status half-installed libassuan0:arm64 2.5.5-5
2025-07-01 09:59:40 status unpacked libassuan0:arm64 2.5.5-5
2025-07-01 09:59:40 install libreadline8:arm64 <none> 8.2-1.3
2025-07-01 09:59:40 status half-installed libreadline8:arm64 8.2-1.3
2025-07-01 09:59:40 status unpacked libreadline8:arm64 8.2-1.3
2025-07-01 09:59:40 install gpgconf:arm64 <none> 2.2.40-1.1
2025-07-01 09:59:40 status half-installed gpgconf:arm64 2.2.40-1.1
2025-07-01 09:59:40 status unpacked gpgconf:arm64 2.2.40-1.1
2025-07-01 09:59:40 install libksba8:arm64 <none> 1.6.3-2
2025-07-01 09:59:40 status half-installed libksba8:arm64 1.6.3-2
2025-07-01 09:59:40 status unpacked libksba8:arm64 1.6.3-2
2025-07-01 09:59:40 install libsasl2-modules-db:arm64 <none> 2.1.28+dfsg-10
